"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"147",9,"Daniel Jones",IND,"QB25","13","4 out of 5","4 out of 5","4 out of 5 stars","+27"
"148",9,"Brenton Strange",JAC,"TE18","7","4 out of 5","3 out of 5","3 out of 5 stars","+6"
"149",9,"Jauan Jennings",MIN,"WR56","6","2 out of 5","4 out of 5","5 out of 5 stars","+39"
"150",9,"Deebo Samuel Sr.",SF,"WR57","8","4 out of 5","4 out of 5","2 out of 5 stars","-16"
"151",9,"Jerry Jeudy",CLE,"WR58","11","2 out of 5","4 out of 5","3 out of 5 stars","+15"
"152",9,"Keaton Mitchell",LAC,"RB51","7","4 out of 5","3 out of 5","3 out of 5 stars","+28"
"153",9,"Denzel Boston",CLE,"WR59","11","4 out of 5","4 out of 5","3 out of 5 stars","+12"
"154",9,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+48"
"155",9,"Stefon Diggs",WAS,"WR60","7","4 out of 5","4 out of 5","2 out of 5 stars","-18"
"156",9,"Hunter Henry",NE,"TE19","11","2 out of 5","3 out of 5","4 out of 5 stars","-4"
"157",9,"Omar Cooper Jr.",NYJ,"WR61","13","4 out of 5","3 out of 5","4 out of 5 stars","+30"
"158",9,"Adonai Mitchell",NYJ,"WR62","13","4 out of 5","4 out of 5","4 out of 5 stars","+50"
"159",9,"Jonah Coleman",DEN,"RB52","10","3 out of 5","4 out of 5","2 out of 5 stars","+25"
"160",9,"Jalen McMillan",TB,"WR63","10","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"161",9,"Brian Robinson Jr.",ATL,"RB53","11","1 out of 5","4 out of 5","2 out of 5 stars","-4"
"162",9,"Tank Bigsby",PHI,"RB54","10","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"163",9,"Oronde Gadsden II",LAC,"TE20","7","3 out of 5","4 out of 5","4 out of 5 stars","-2"
"164",9,"Travis Hunter",JAC,"WR64","7","3 out of 5","4 out of 5","4 out of 5 stars","+47"
"165",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-62"
"166",9,"Tre Tucker",LV,"WR65","13","4 out of 5","2 out of 5","2 out of 5 stars","+6"
"167",10,"Dalton Schultz",HOU,"TE21","8","3 out of 5","2 out of 5","4 out of 5 stars","+8"
"168",10,"Tre' Harris",LAC,"WR66","7","4 out of 5","3 out of 5","2 out of 5 stars","+59"
"169",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-55"
"170",10,"Braelon Allen",NYJ,"RB55","13","2 out of 5","4 out of 5","3 out of 5 stars","+23"
"171",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","5 out of 5","2 out of 5 stars","+67"
"172",10,"Ryan Flournoy",DAL,"WR67","14","4 out of 5","2 out of 5","2 out of 5 stars","+94"
"173",10,"De'Zhaun Stribling",SF,"WR68","8","3 out of 5","4 out of 5","2 out of 5 stars","+3"
"174",10,"Seattle Seahawks",SEA,"DST3","11","-","-","2 out of 5 stars","-51"
"175",10,"T.J. Hockenson",MIN,"TE22","6","3 out of 5","4 out of 5","4 out of 5 stars","-20"
"176",10,"Los Angeles Rams",LAR,"DST4","11","-","-","2 out of 5 stars","-59"
"177",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-39"
"178",10,"Kayshon Boutte",NE,"WR69","11","3 out of 5","4 out of 5","2 out of 5 stars","+16"
"179",10,"Kimani Vidal",LAC,"RB56","7","2 out of 5","4 out of 5","3 out of 5 stars","+24"
